jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023IPW001,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Bundamba Sewage Treatment Plant,River Road,Bundamba,QLD,4304,-27.589074,152.811049,2812,Sewerage and Drainage Services,ERA 15(g) Sewage treatment operating a standard sewage treatment works having a peak design capacity to treat sewage of 100000 or more equivalent persons.,Total Nitrogen,Water,22000,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023IPW001,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Bundamba Sewage Treatment Plant,River Road,Bundamba,QLD,4304,-27.589074,152.811049,2812,Sewerage and Drainage Services,ERA 15(g) Sewage treatment operating a standard sewage treatment works having a peak design capacity to treat sewage of 100000 or more equivalent persons.,Chlorine & compounds,Water,7400,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023IPW001,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Bundamba Sewage Treatment Plant,River Road,Bundamba,QLD,4304,-27.589074,152.811049,2812,Sewerage and Drainage Services,ERA 15(g) Sewage treatment operating a standard sewage treatment works having a peak design capacity to treat sewage of 100000 or more equivalent persons.,Ammonia (total),Water,2200,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023IPW001,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Bundamba Sewage Treatment Plant,River Road,Bundamba,QLD,4304,-27.589074,152.811049,2812,Sewerage and Drainage Services,ERA 15(g) Sewage treatment operating a standard sewage treatment works having a peak design capacity to treat sewage of 100000 or more equivalent persons.,Acetic acid (ethanoic acid),Water,4,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023PRW001,UNITYWATER,Brendale Sewage Treatment Plant,CRIBB ROAD,Brendale,QLD,4500,-27.3303,152.974,2812,Sewerage and Drainage Services,Biological Treatment of Waste Water,Total Nitrogen,Water,10871,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023PRW001,UNITYWATER,Brendale Sewage Treatment Plant,CRIBB ROAD,Brendale,QLD,4500,-27.3303,152.974,2812,Sewerage and Drainage Services,Biological Treatment of Waste Water,Chlorine & compounds,Water,65,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023PRW001,UNITYWATER,Brendale Sewage Treatment Plant,CRIBB ROAD,Brendale,QLD,4500,-27.3303,152.974,2812,Sewerage and Drainage Services,Biological Treatment of Waste Water,Total Phosphorus,Water,1920,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023PRW001,UNITYWATER,Brendale Sewage Treatment Plant,CRIBB ROAD,Brendale,QLD,4500,-27.3303,152.974,2812,Sewerage and Drainage Services,Biological Treatment of Waste Water,Ammonia (total),Water,4314,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020CGM001,EVOLUTION MINING LIMITED,Cracow,EIDSVOLD-THEODORE RD,Cracow,QLD,4719,-25.295902,150.288005,0804,Gold Ore Mining,Gold Mining,Fluoride compounds,Water,6.48,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020CGM001,EVOLUTION MINING LIMITED,Cracow,EIDSVOLD-THEODORE RD,Cracow,QLD,4719,-25.295902,150.288005,0804,Gold Ore Mining,Gold Mining,Cadmium & compounds,Water,0.02016,N,N,Y,N,N
