TotalCars,Size,State,Suburb,lat,lng,CarsPerSQKM
5731,6.0145,South Australia,Warradale, 138.540330,-35.012621,952.863912212154
7483,13.8495,Queensland,Maroochydore - Kuluin, 153.075386,-26.656037,540.3083143795805
2621,2.8366,Victoria,Ashburton (Vic.), 145.079528,-37.867021,923.9935133610661
7622,2.9612,New South Wales,Crows Nest - Waverton, 151.201097,-33.830999,2573.9565041199517
5711,371.6241,Victoria,Emerald - Cockatoo, 145.559710,-37.949957,15.367679329731306
0,74.9605,Western Australia,Avon Valley National Park, 116.193522,-31.641036,0.0
3743,507.7455,Victoria,Wallan, 145.087977,-37.389121,7.371803393629289
2876,808.8593,Western Australia,Pinjarra, 115.848894,-32.619940,3.5556245690690584
2586,15.7432,Queensland,Collingwood Park - Redbank, 152.863055,-27.611363,164.26139539610753
5692,9.492,Victoria,Croydon Hills - Warranwood, 145.266030,-37.773785,599.6628739991571
5313,155.0115,Victoria,Bairnsdale, 147.641036,-37.823513,34.27487638013954
2743,3.1747,Queensland,Biggera Waters, 153.390364,-27.929947,864.0186474312533
3057,1.3389,Queensland,Kangaroo Point, 153.036067,-27.474735,2283.217566659198
3586,2.168,Victoria,Brunswick East, 144.978695,-37.766778,1654.0590405904059
7357,7.1838,New South Wales,Freshwater - Brookvale, 151.280733,-33.770438,1024.1098026114314
4248,48.4215,New South Wales,Albury - South, 146.863723,-36.064205,87.72962423716737
2239,4.0155,Victoria,Kew East, 145.052544,-37.790323,557.5893413024529
822,304.8874,Western Australia,Gidgegannup, 116.178720,-31.754473,2.696077305916873
7804,31.6238,Queensland,The Hills District, 152.943972,-27.378055,246.77616225754022
5734,5.5596,New South Wales,Yagoona - Birrong, 151.022121,-33.901354,1031.3691632491548
3510,3.4245,Queensland,St Lucia, 153.005432,-27.498018,1024.9671484888304
6014,3.576,New South Wales,Rockdale - Banksia, 151.141492,-33.953293,1681.7673378076063
4503,15.1408,Western Australia,Swan View - Greenmount - Midvale, 116.043371,-31.892067,297.40832716897387
2993,4253.6537,Victoria,Bright - Mount Beauty, 146.979360,-36.812392,0.7036303872127625
7780,7.8201,New South Wales,Eastwood - Denistone, 151.085631,-33.790930,994.8721883351875
8,2144.4618,New South Wales,Ettrema - Sassafras - Budawang, 150.241213,-35.094217,0.0037305397559424932
2239,3.6367,New South Wales,Greenfield Park - Prairiewood, 150.901784,-33.864747,615.6680507053098
6030,3.2492,Victoria,North Melbourne, 144.946027,-37.800550,1855.8414378924042
3763,37.5348,Queensland,Clifton Beach - Kewarra Beach, 145.655000,-16.759682,100.25363129682323
2547,9.7287,Queensland,Westcourt - Bungalow, 145.762637,-16.945843,261.80270745320547
1460,21569.5292,Victoria,Mildura Region, 141.800475,-34.864504,0.06768807916308159
1668,2647.0202,Western Australia,Katanning, 117.460594,-33.586264,0.6301425278129725
1156,847.8696,South Australia,Mallala, 138.470852,-34.510349,1.3634172047211033
6361,8.9161,New South Wales,Bass Hill - Georges Hall, 150.990260,-33.899264,713.4285169524792
3148,4.1512,New South Wales,Hunters Hill - Woolwich, 151.138354,-33.829787,758.3349392946617
1206,153.7124,Queensland,Jacobs Well - Alberton, 153.351102,-27.749148,7.8458211569138205
4663,2321.0253,Victoria,Numurkah, 145.317020,-36.000661,2.009025924878975
2019,112960.6967,Queensland,Cape York, 143.480278,-14.468885,0.017873473331720343
5571,7.3829,New South Wales,Blacktown (North) - Marayong, 150.886095,-33.742778,754.5815330019369
7131,11.1482,Western Australia,Bentley - Wilson - St James, 115.909700,-32.012889,639.6548321702159
4626,12.972,South Australia,Port Adelaide, 138.522131,-34.836918,356.61424606845515
3474,166.0989,Queensland,Samford Valley, 152.844820,-27.357977,20.91524989027622
1642,18.0639,Tasmania,West Ulverstone, 146.130166,-41.146845,90.89952889464622
1369,3489.4721,Tasmania,Waratah, 145.458092,-41.365771,0.3923229533773891
2099,4.929,Queensland,Ormiston, 153.253353,-27.514397,425.8470277946845
7228,108.884,Victoria,Hastings - Somers, 145.163486,-38.340450,66.38257227875538
8597,5.7961,Queensland,Surfers Paradise, 153.422393,-28.005740,1483.2387294905195
1793,52403.0178,Queensland,Tablelands, 143.924208,-17.129334,0.034215586721419694
1540,35.6108,Queensland,Craignish - Dundowran Beach, 152.752174,-25.289063,43.24530760331136
1642,1691.6486,Western Australia,Toodyay, 116.382123,-31.469911,0.9706507604475303
3324,3.0904,Western Australia,North Perth, 115.854100,-31.927741,1075.588920528087
6825,105.2835,Victoria,Moe - Newborough, 146.297649,-38.197334,64.82497257405007
2187,2.5601,Victoria,Bundoora - West, 145.052227,-37.692700,854.263505331823
4966,67.3083,Western Australia,Australind - Leschenault, 115.712461,-33.263561,73.77990530142642
4866,15.6229,Western Australia,Joondalup - Edgewater, 115.774323,-31.744833,311.46586101172
1127,3.1751,Northern Territory,Rosebery - Bellamack, 130.987217,-12.509538,354.9494504110107
5659,6.4301,Victoria,Sandringham - Black Rock, 145.016013,-37.961493,880.0796255112673
5534,17.4225,New South Wales,Woy Woy - Blackwall, 151.299441,-33.483789,317.6352417850481
7169,10.0974,Victoria,Greensborough, 145.103018,-37.701478,709.9847485491314
4860,54.9391,New South Wales,Wagga Wagga - West, 147.308474,-35.129019,88.46158746684965
6202,117.2141,South Australia,Aldgate - Stirling, 138.727817,-35.029729,52.911723077684336
3151,52.6281,Queensland,Bowen, 148.234097,-20.018645,59.87295760249752
2634,10.4233,Western Australia,Coogee, 115.766085,-32.123368,252.7030786794969
5222,126.3198,Victoria,Torquay, 144.267622,-38.321376,41.33952080354782
1601,5.7589,Tasmania,Kings Meadows - Punchbowl, 147.160390,-41.468556,278.00448002222646
6867,2.4963,New South Wales,Bondi - Tamarama - Bronte, 151.266532,-33.901031,2750.8712895084723
2456,157.4161,Northern Territory,Humpty Doo, 131.138413,-12.554899,15.60196193400802
4264,5.0848,Victoria,Fawkner, 144.969815,-37.705492,838.5777218376337
3061,8.7354,Western Australia,Canning Vale - West, 115.905445,-32.090212,350.4132609840419
2971,375.9341,Tasmania,Sorell - Richmond, 147.565474,-42.737534,7.902980868189398
7229,125.8424,Queensland,Upper Coomera - Willow Vale, 153.249001,-27.860514,57.444867548616365
947,271279.763,Queensland,Far Central West, 140.468660,-23.819813,0.003490861203679244
3371,4.0749,Victoria,Bundoora - East, 145.069347,-37.697760,827.2595646518932
1782,271.9202,South Australia,Moonta, 137.685388,-34.035425,6.553393238163255
6237,4.5135,New South Wales,Belmore - Belfield, 151.087743,-33.912772,1381.8544366899303
2479,4.8007,Queensland,Jindalee - Mount Ommaney, 152.933844,-27.540591,516.3830274751599
1117,1.3225,Australian Capital Territory,Page, 149.049918,-35.237697,844.6124763705104
3413,5.3985,Queensland,Chapel Hill, 152.950120,-27.499517,632.2126516624988
5124,5.463,New South Wales,Ashcroft - Busby - Miller, 150.889255,-33.914848,937.9461834157056
6699,331.85,New South Wales,Kurrajong Heights - Ebenezer, 150.760967,-33.526207,20.186831399728792
3727,214.0352,Victoria,Lakes Entrance, 147.942514,-37.833340,17.413023652184314
1424,303.7769,Queensland,Guanaba - Springbrook, 153.257104,-28.119640,4.687650706818062
